cohort,name,flavor,cpu_quota,memory_quota,gpu_quota,cpu_limit,memory_limit,gpu_limit,cpu_used,memory_used,gpu_used,cpu_borrowed,memory_borrowed,gpu_borrowed
aiinfn,queue-template,cpu-only,0,0,0,0,0,0,0,0,0,0,0,0
aiinfn,queue-template,gpu-mig-1g.10gb,0,0,0,0,0,0,0,0,0,0,0,0
aiinfn,queue-template,gpu-t4,0,0,0,0,0,0,0,0,0,0,0,0
aiinfn,queue-template,gpu-rtx5000,0,0,0,0,0,0,0,0,0,0,0,0
aiinfn,queue-template,gpu-mig-2g.20gb,0,0,0,0,0,0,0,0,0,0,0,0
aiinfn,queue-template,gpu-mig-3g.30gb,0,0,0,0,0,0,0,0,0,0,0,0
aiinfn,queue-template,gpu-mig-4g.40gb,0,0,0,0,0,0,0,0,0,0,0,0
aiinfn,queue-template,gpu-a100,0,0,0,0,0,0,0,0,0,0,0,0
aiinfn,master,cpu-only,8,0,0,,,,,,,,,
aiinfn,master,gpu-mig-1g.10gb,56,300Gi,14,,,,,,,,,
aiinfn,master,gpu-t4,0,0,0,,,,,,,,,
aiinfn,master,gpu-rtx5000,32,200Gi,4,,,,,,,,,
aiinfn,master,gpu-mig-2g.20gb,0,0,0,,,,,,,,,
aiinfn,master,gpu-mig-3g.30gb,0,0,0,,,,,,,,,
aiinfn,master,gpu-mig-4g.40gb,0,0,0,,,,,,,,,
aiinfn,master,gpu-a100,28,150Gi,1,,,,,,,,,
aiinfn,pinne,cpu-only,0,0,0,,,,,,,,,
aiinfn,pinne,gpu-mig-1g.10gb,0,0,0,,,,,,,,,
aiinfn,pinne,gpu-t4,0,0,0,,,,,,,,,
aiinfn,pinne,gpu-rtx5000,0,0,0,,,,,,,,,
aiinfn,pinne,gpu-mig-2g.20gb,0,0,0,,,,,,,,,
aiinfn,pinne,gpu-mig-3g.30gb,0,0,0,,,,,,,,,
aiinfn,pinne,gpu-mig-4g.40gb,0,0,0,,,,,,,,,
aiinfn,pinne,gpu-a100,0,0,0,,,,,,,,,
